key,fitting_error,conformational_error
21513,0.6561296959,23.23271232
21693,0.6614721051,22.97371764
21276,0.696504188,22.90065678
21209,0.6799652409,22.85967018
21250,0.6987746059,22.71795342
21767,0.6637014546,23.23810631
21497,0.6960661032,22.95426086
21545,0.6664494092,23.21327051
21544,0.7022271271,22.59438289
21393,0.6998247017,22.73854661
21664,0.683455568,22.67042184
21210,0.6910921956,23.16068151
21774,0.6810570671,23.23992815
2531,0.6828738131,12.91615304
21389,0.6656049817,22.93843103
21251,0.6740819906,22.92855571
21487,0.6719458456,23.20959392
21203,0.6787608503,23.13767083
2713,0.6847174936,12.94419542
21279,0.6947847334,23.017925
21330,0.6734658549,23.13834311
21565,0.698075392,22.93611766
21517,0.668331055,22.92269108
21211,0.6621847232,23.46083185
21358,0.6575936583,23.28824789
21651,0.6740176813,23.05977251
21654,0.6680301104,22.94315726
21369,0.6594847124,23.26853334
21257,0.6608783835,23.24416818
21666,0.6787643382,23.14023737
21701,0.6605341218,22.96674019
2712,0.6724438012,12.97334662
21259,0.6946869549,22.98956084
21401,0.6660371058,23.18000793
21735,0.6807207074,22.68026814
21529,0.6582389795,23.23490884
21571,0.6929813382,23.04454895
21396,0.6644219262,23.23215653
21230,0.6908145237,23.25519412
21433,0.6863750544,23.07273408
21335,0.6734248881,22.82310799
21559,0.702799494,22.56752582
21474,0.6549875686,23.29545558
21388,0.665681589,22.98106249
21765,0.6850866888,22.81037692
21581,0.6746254341,23.28042948
21779,0.6762154231,22.89123728
21414,0.6985290151,22.63488778
2442,0.6898403096,12.79376211
21777,0.6747773374,23.37870926
21754,0.673057272,22.89499074
21305,0.6778176257,22.86488049
21570,0.6755606336,23.38386139
21317,0.660549251,23.38096178
21566,0.7011278508,22.67872284
21402,0.676009175,23.28641117
21355,0.6734653802,22.88770615
21528,0.6616034916,22.90858773
21341,0.6910776981,23.14772774
21344,0.6681234375,22.88914389
21263,0.6660727889,22.96605786
21282,0.6821776127,22.68295442
21338,0.686555783,22.82158997
21391,0.6979334449,22.62539843
21760,0.6642694762,23.19526478
21499,0.6977548587,22.64098135
21702,0.6965879702,22.9542598
21302,0.7005238906,22.71525505
21371,0.6628039978,23.20369
21207,0.6567933247,23.2406718
21353,0.6671659682,22.9758489
21608,0.6639445213,22.95080627
21345,0.6584662809,23.01911388
21249,0.6665396909,22.91576388
21356,0.6841034634,23.1456367
21745,0.695282302,22.87863109
21243,0.6999071401,22.70033251
21455,0.6809755894,23.23554152
21224,0.6591926853,22.92583276
21625,0.7037409109,22.50801415
21432,0.6543622884,23.40698955
21448,0.6628538316,23.18520188
21610,0.6937927352,22.98054883
21776,0.6719443393,23.13867603
21146,0.6915263608,17.86322399
21300,0.666190885,23.3659789
21667,0.6963868503,22.96378835
21304,0.6630057568,23.26189792
21223,0.6635679613,23.23905455
21467,0.7031518372,22.63682632
21459,0.6929951156,23.06660465
21297,0.6605672424,22.89452666
21464,0.6757929908,23.15555669
21315,0.681739616,22.84609133
21239,0.6637170008,22.94562605
21269,0.6705247111,22.72533963
21253,0.6581835933,23.00933754
21420,0.7017146056,22.72864106
21285,0.6642274423,23.23270259
21698,0.6561575068,23.27162584
21704,0.6939717964,22.87315795
21409,0.6825559829,23.16142936
21573,0.7012847096,22.64946123
21442,0.660288313,23.25844988
21710,0.6944502088,22.96855519
21502,0.6669924365,22.80793488
21616,0.6593449104,23.00777634
21291,0.6802026845,23.2580871
21733,0.6817710199,22.84462407
21532,0.70066381,22.68387248
21427,0.6899757354,23.05277302
21598,0.6922590244,23.15088215
21322,0.6992261032,22.85953004
21316,0.659453658,23.26463169
21452,0.6973727805,22.62300581
21679,0.6937307416,22.980245
21329,0.6967267355,22.964248
21241,0.6939738148,23.05944321
21397,0.6953938395,22.94731564
2445,0.6805643184,12.85108501
21237,0.678149159,22.91894082
21283,0.6856856161,22.82113406
21723,0.6885074697,22.58680184
21200,0.6627398739,23.20401116
21438,0.6587905097,23.25132418
2742,0.6893956692,12.5659824
21797,0.6622580995,23.0410669
21668,0.6642734441,23.19415796
21339,0.6847786971,22.96610955
21786,0.67881024,22.92880759
21307,0.6645236493,23.37581944
2419,0.6826832602,13.08654492
21266,0.6845017324,22.74310336
21624,0.6766414561,22.88703141
21147,0.6834768646,18.08089456
21717,0.6762178197,23.17672313
21752,0.6664547677,22.92977629
21714,0.7039574293,22.63543508
21231,0.7017070644,22.67053155
21538,0.6662809858,22.97942306
21629,0.6752284352,23.16153458
21681,0.6672395961,22.87048888
21609,0.6860449689,22.82337503
21488,0.6969294503,22.93984426
21375,0.6557251226,23.25696463
21674,0.6833669058,22.77902971
21486,0.683616156,23.12420154
21677,0.6903911804,23.25074616
21324,0.6561899915,23.28730532
21580,0.7005456697,22.83364179
21697,0.6636727141,23.01810276
21236,0.6943341382,23.00830624
21220,0.6782696719,23.35367797
21550,0.6932374151,22.55331606
