key,fitting_error,conformational_error
2133,0.6787386554,0.6938028844
2482,0.6778614124,0.6966957097
2138,0.6828757099,0.7262766155
2252,0.6815826309,0.6803173166
286,0.680574809,0.6942192374
2858,0.6859018957,0.8467129757
2339,0.6796775936,0.6936296392
2455,0.6870529141,0.7157506369
229,0.6891898111,0.7243820233
2799,0.6721775067,0.7337039232
2543,0.6752683062,0.7008442581
259,0.6754537274,0.6977309148
234,0.6760706631,0.6939606367
232,0.6874412151,0.6896447529
277,0.6876902991,0.7001461066
2191,0.6862630967,0.6899935104
2385,0.6764003924,0.6931034576
2126,0.682045653,0.7039013927
2299,0.6792331627,0.6900195153
2329,0.6834745531,0.6789208744
2483,0.6771518451,0.703442366
2205,0.6789945972,0.6942680349
2570,0.6857343007,0.7367839879
2121,0.6777797989,0.6892443563
2214,0.6813466264,0.7131901478
2234,0.6758271831,0.6948884037
2505,0.679229501,0.7055194263
2531,0.6828738131,0.698658883
2128,0.6859829918,0.6831442233
2287,0.6831679111,0.6776245615
298,0.6803965749,0.7128305808
239,0.6767561261,0.6922391246
2400,0.6829642036,0.6851798356
2318,0.6831235534,0.6775213349
2490,0.676185345,0.6942279956
2157,0.6862367504,0.6934995443
2352,0.6904088305,0.7312500061
2305,0.6855134742,0.7394768757
2221,0.6763886303,0.6925157857
2131,0.6838356679,0.7327946898
2225,0.6849202273,0.6812897923
2326,0.6863934692,0.6837959272
266,0.6860289548,0.744338869
2332,0.6754887242,0.6960464848
2542,0.684158307,0.6823657986
2149,0.6889553326,0.6975621311
2323,0.682973187,0.6795825861
2314,0.6861591949,0.7668602942
2847,0.679210607,0.7076765228
2115,0.6798978516,0.6934903083
2312,0.6837892861,0.7438024151
2597,0.6784127872,0.6850069233
2392,0.6836498158,0.6792638605
2137,0.68006013,0.6838667391
2909,0.6905247398,0.7057371412
2321,0.6789176672,0.6947081291
252,0.684728232,0.6780059284
297,0.6834083218,0.6788806049
2347,0.6837310684,0.6796679317
245,0.6825171103,0.6869471658
236,0.6814198152,0.679879789
227,0.6855295491,0.7633071699
2468,0.6868028825,0.6871069118
233,0.686038027,0.6881458556
2379,0.6816896317,0.6829064726
2693,0.6823076837,0.7028462021
2266,0.6888710865,0.7137608999
225,0.6895385335,0.721208023
280,0.6790227763,0.6917611389
2106,0.6800758951,0.6821208604
2721,0.6904892389,0.741567694
2189,0.6815053185,0.6796555349
2319,0.6753079125,0.6966275952
2459,0.6863137947,0.7369410098
2374,0.6835786798,0.6786744767
221,0.6827260456,0.6809673989
2243,0.6863684523,0.7411069129
2241,0.6807448274,0.6855845643
2112,0.6811168154,0.6939991556
2248,0.6797394672,0.7046061843
2461,0.6890291723,0.7187670851
2181,0.6839090184,0.6948033902
2498,0.6755616494,0.6954679021
2101,0.6830678868,0.7105539854
2274,0.6871244272,0.6909459436
2389,0.6845977148,0.7580637088
2540,0.6811315738,0.6972207117
2849,0.6908267312,0.8431860187
2304,0.6812251876,0.692327042
2255,0.6787019737,0.6909962291
2127,0.689582786,0.7147357658
2195,0.6822819761,0.6777120096
2348,0.683431779,0.6964190461
2140,0.6783256901,0.6895984538
270,0.6879459727,0.6960389011
2216,0.6885757126,0.703937184
2184,0.6796880293,0.6823813675
2355,0.6867778292,0.6866010736
2610,0.6690840131,0.7466496208
2146,0.6774652838,0.6912009712
2618,0.6806379733,0.6909319022
2331,0.6789641761,0.696771296
2118,0.6785895985,0.7015613799
2257,0.6800236464,0.6833773043
2390,0.6843180977,0.693625863
282,0.6752400969,0.6972987138
2136,0.679391815,0.7042841722
241,0.6859632917,0.7282239274
2892,0.689259973,0.6985601247
2302,0.6818517497,0.6802642569
2122,0.6803691841,0.6796894255
2154,0.684069145,0.732019227
2489,0.6880677456,0.7082244769
2926,0.6836340782,0.6848868693
2268,0.6810104703,0.679847313
296,0.6811611827,0.686481078
2139,0.6850322311,0.7319243703
2223,0.6857501263,0.6853230065
2222,0.6868443806,0.6864482613
2134,0.689040732,0.7260650206
2466,0.683540066,0.6780918727
2110,0.6760157736,0.6962111706
2229,0.6859044968,0.7593447386
2839,0.6687110664,0.7460004461
2333,0.6895163616,0.7179278951
244,0.6809122624,0.7012521774
2245,0.6775053927,0.6902882982
2290,0.6874059407,0.6895315685
2809,0.6792128335,0.6936036996
2327,0.676615381,0.7018624534
2746,0.6811123023,0.6811157078
2301,0.6756683948,0.6976982586
2344,0.6813480289,0.6778219994
2120,0.6839826421,0.679423366
246,0.6848271024,0.6981092673
274,0.6823589607,0.6921788584
2388,0.6873951144,0.6928880392
258,0.6871681822,0.6992031671
2102,0.6753412526,0.6988375241
2227,0.6812253329,0.686518792
251,0.6871827629,0.6847477622
2269,0.6821563747,0.6796863943
2203,0.6818616693,0.6799278821
2393,0.6834248557,0.6849810428
2172,0.6834321345,0.6786653109
220,0.6879843365,0.6910455118
2762,0.6859607402,0.7928900308
2328,0.6812899213,0.679556853
268,0.6862715563,0.6836590983
2349,0.6853793467,0.6859279863
2330,0.6848601571,0.6806133855
2158,0.681470379,0.6914484477
2256,0.6800600265,0.6872433108
2125,0.685273482,0.7403463149
2107,0.6829173285,0.7046574967
2218,0.6889626668,0.7094826616
2845,0.667984039,0.7521575311
2569,0.6873480922,0.6906899354
2147,0.685859862,0.6817575926
2729,0.6725211112,0.7164709052
2113,0.6858470403,0.7161797317
2582,0.6817566252,0.6841540362
2153,0.6865452067,0.6842239277
2562,0.6867468587,0.6898122539
2103,0.6891086973,0.6983970524
2114,0.6785084043,0.6899656091
2226,0.6803036353,0.6852317025
2280,0.6843911776,0.6841213558
217,0.6838485374,0.7172405318
2356,0.6852055444,0.7420871554
212,0.6817751151,0.6831742169
2306,0.6860487858,0.68430022
